HU number,Shipping Point,Packed Quantity,Material,Packaging Materials,Length,Width,Height,Total Volume
LELMECB40059544061E,CND7,4,RPM5132371/00300,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40059516075E,CND7,11,RDH10247/1,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40059516075E,CND7,9,RDH10247/1,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40059599771E,CND7,8,RPM2530292/10M,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40059598521E,CND7,2,RPM2530292/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40059578677E,CND7,6,KRC161865/2,EAB-PACK,1.2,0.8,0.58,0.557
LELMECB40059553964E,CND7,2,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059553964E,CND7,2,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059553964E,CND7,2,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059553964E,CND7,2,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059553964E,CND7,2,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059553964E,CND7,2,SEF901377/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059548656E,CND7,2,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059548656E,CND7,2,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059548656E,CND7,2,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059548656E,CND7,2,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059548656E,CND7,2,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059548656E,CND7,2,SEF901377/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059610780E,CND7,1,KRC161624/2,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40059511759E,CND7,65,NTB1010845/1R1A,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059511759E,CND7,9,NTB1010845/1R1A,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059513180E,CND7,16,NTB1010845/1R1A,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40059551045E,CND7,2,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059551045E,CND7,2,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059551045E,CND7,2,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059551045E,CND7,2,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059551045E,CND7,2,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059551045E,CND7,2,SEF901377/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059599481E,CND7,8,RPM2530292/10M,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40059612678E,CND7,12,KDU1370096/11,EAB-PACK,1.2,0.8,0.85,0.816
LELMECB40059620949E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40059552844E,CND7,2,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552844E,CND7,2,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552844E,CND7,4,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552844E,CND7,2,SEF901377/2,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059571487E,CND7,12,KRC161865/2,EAB-PACK,1.2,0.8,1.02,0.979
LELMECB40059583190E,CND7,131,RDH10265/1,RTK21717/741,1.2,0.8,0.75,0.72
