HU number,Shipping Point,Material,Packed Quantity
LELMECB40059544061E,CND7,RPM5132371/00300,4
LELMECB40059516075E,CND7,RDH10247/1,11
LELMECB40059516075E,CND7,RDH10247/1,9
LELMECB40059599771E,CND7,RPM2530292/10M,8
LELMECB40059598521E,CND7,RPM2530292/10M,2
LELMECB40059578677E,CND7,KRC161865/2,6
LELMECB40059553964E,CND7,RDH10265/3,2
LELMECB40059553964E,CND7,RDH10265/25,2
LELMECB40059553964E,CND7,RNT44737/01,2
LELMECB40059553964E,CND7,SEF901376/0535,2
LELMECB40059553964E,CND7,RPM2531610/10M,2
LELMECB40059553964E,CND7,SEF901377/1,2
LELMECB40059548656E,CND7,RDH10265/3,2
LELMECB40059548656E,CND7,RDH10265/25,2
LELMECB40059548656E,CND7,RNT44737/01,2
LELMECB40059548656E,CND7,SEF901376/0535,2
LELMECB40059548656E,CND7,RPM2531610/10M,2
LELMECB40059548656E,CND7,SEF901377/1,2
LELMECB40059610780E,CND7,KRC161624/2,1
LELMECB40059511759E,CND7,NTB1010845/1R1A,65
LELMECB40059511759E,CND7,NTB1010845/1R1A,9
LELMECB40059513180E,CND7,NTB1010845/1R1A,16
LELMECB40059551045E,CND7,RDH10265/3,2
LELMECB40059551045E,CND7,RDH10265/25,2
LELMECB40059551045E,CND7,RNT44737/01,2
LELMECB40059551045E,CND7,SEF901376/0535,2
LELMECB40059551045E,CND7,RPM2531610/10M,2
LELMECB40059551045E,CND7,SEF901377/1,2
LELMECB40059599481E,CND7,RPM2530292/10M,8
LELMECB40059612678E,CND7,KDU1370096/11,12
LELMECB40059620949E,CND7,KDU1370096/11,1
LELMECB40059552844E,CND7,RNT44737/01,2
LELMECB40059552844E,CND7,SEF901376/0535,2
LELMECB40059552844E,CND7,RPM2531610/10M,4
LELMECB40059552844E,CND7,SEF901377/2,2
LELMECB40059571487E,CND7,KRC161865/2,12
LELMECB40059583190E,CND7,RDH10265/1,131
LELMECB40059583190E,CND7,RPM1192060/5,131
LELMECB40059583190E,CND7,SEF901377/1,131
LELMECB40059590341E,CND7,KRY901474/2,24
LELMECB40059590389E,CND7,KRY901474/2,24
LELMECB40059591430E,CND7,RPM777045/03000,131
LELMECB40059591430E,CND7,KRY901474/2,11
